TIME                     OPNAM  # OPS/SEC p50(ms) p95(ms) p99(ms)    pMax
2020-09-30T23:27:15.952Z write  3    84.1    10.5    58.7   503.3  2684.4
2020-09-30T23:28:15.949Z write  3    87.7    10.5    58.7   469.8   771.8
2020-09-30T23:29:15.946Z write  3    61.5    13.6   176.2   570.4  1140.9
2020-09-30T23:30:15.942Z write  3    58.1    13.6   352.3   637.5   973.1
2020-09-30T23:31:15.939Z write  3    58.6    14.7   226.5   570.4   771.8
2020-09-30T23:32:15.935Z write  3    57.6    14.7   318.8   637.5  1208.0
2020-09-30T23:33:15.932Z write  3    40.3    16.3   369.1   604.0 12348.0
2020-09-30T23:34:15.929Z write  3    52.9    15.7   352.3   637.5  1342.2
2020-09-30T23:35:15.925Z write  3    55.1    15.2   385.9   671.1  1006.6
2020-09-30T23:36:15.922Z write  3    66.6    12.6   302.0   637.5   771.8
2020-09-30T23:37:15.919Z write  3    80.4    11.5    60.8   453.0   738.2
2020-09-30T23:38:15.915Z write  3    74.9    11.0   209.7   570.4  1275.1
2020-09-30T23:39:15.912Z write  3    79.8    10.0   201.3   604.0   805.3
2020-09-30T23:40:15.908Z write  3   144.4     6.6    24.1   419.4   704.6
2020-09-30T23:41:15.905Z write  3   193.1     5.8    14.2    50.3   805.3
2020-09-30T23:42:15.901Z write  3   246.4     5.5     9.4    18.9   838.9
2020-09-30T23:43:15.899Z write  3   264.3     5.5     8.9    13.6    62.9
2020-09-30T23:44:15.895Z write  3   242.8     5.8    10.0    18.9   570.4
2020-09-30T23:45:15.892Z write  3   264.3     5.5     8.9    14.7   226.5
2020-09-30T23:46:15.888Z write  3   245.8     5.5     9.4    21.0   604.0
2020-09-30T23:47:15.885Z write  3   257.1     5.2     9.4    16.8   570.4
2020-09-30T23:48:15.881Z write  3    84.0    10.0    58.7   436.2  1275.1
2020-09-30T23:49:15.878Z write  3    77.1    11.5    62.9   453.0  1006.6
2020-09-30T23:50:15.874Z write  3    76.3    11.0    88.1   536.9   906.0
2020-09-30T23:51:15.871Z write  3    59.9    15.2   159.4   536.9  1006.6
2020-09-30T23:52:15.868Z write  3    55.1    14.7   285.2   604.0  2080.4
2020-09-30T23:53:15.865Z write  3    59.1    15.7   226.5   570.4  1342.2
2020-09-30T23:54:15.861Z write  3    61.3    13.6   226.5   604.0   872.4
2020-09-30T23:55:15.858Z write  3    50.2    17.8   369.1   637.5  2013.3
2020-09-30T23:56:15.854Z write  3    48.9    18.9   369.1   570.4  1140.9
2020-09-30T23:57:15.851Z write  3    49.2    18.9   335.5   637.5   805.3
2020-09-30T23:58:15.847Z write  3    49.3    19.9   285.2   604.0   738.2
2020-09-30T23:59:15.844Z write  3    48.6    17.8   369.1   637.5  1409.3
2020-10-01T00:00:15.841Z write  3    53.2    16.8   318.8   604.0  1140.9
2020-10-01T00:01:15.837Z write  3    50.6    18.9   352.3   637.5   771.8
2020-10-01T00:02:15.834Z write  3    52.9    18.9   285.2   570.4   738.2
2020-10-01T00:03:15.831Z write  3    49.3    19.9   251.7   604.0  1040.2
2020-10-01T00:04:15.827Z write  3    51.7    17.8   385.9   637.5   805.3
2020-10-01T00:05:15.824Z write  3    51.6    17.8   318.8   637.5   906.0
2020-10-01T00:06:15.821Z write  3    43.8    21.0   419.4   637.5  1208.0
2020-10-01T00:07:15.817Z write  3    50.3    19.9   302.0   604.0   805.3
2020-10-01T00:08:15.814Z write  3    33.6    21.0   419.4   637.5 11274.3
2020-10-01T00:09:15.810Z write  3    20.6    22.0   503.3   872.4 13421.8
2020-10-01T00:10:15.807Z write  3    62.1    13.1   385.9   637.5  1006.6
2020-10-01T00:11:15.804Z write  3   127.7     7.3    32.5   520.1   771.8
2020-10-01T00:12:15.800Z write  3   172.2     7.1    18.9    50.3   570.4
2020-10-01T00:13:15.797Z write  3   223.0     6.3    12.1    19.9   570.4
2020-10-01T00:14:15.793Z write  3   239.5     6.0    11.0    18.9   419.4
2020-10-01T00:15:15.790Z write  3   219.3     6.3    12.1    22.0   671.1
2020-10-01T00:16:15.788Z write  3   235.6     5.8    10.5    18.9   486.5
2020-10-01T00:17:15.784Z write  3   199.9     6.6    13.1    22.0   520.1
2020-10-01T00:18:15.780Z write  3   238.1     6.0    10.5    17.8   104.9
2020-10-01T00:19:15.777Z write  3   239.6     5.8    10.5    18.9   604.0
2020-10-01T00:20:15.773Z write  3   235.2     5.8    10.5    21.0   570.4
2020-10-01T00:21:15.770Z write  3   239.1     5.8    10.5    17.8   192.9
2020-10-01T00:22:15.767Z write  3   218.3     6.0    11.5    21.0   637.5
2020-10-01T00:23:15.763Z write  3   236.8     5.8    10.5    18.9   536.9
2020-10-01T00:24:15.760Z write  3   244.8     5.8    10.0    15.7    46.1
2020-10-01T00:25:15.757Z write  3   230.9     5.8    11.0    18.9   838.9
2020-10-01T00:26:15.754Z write  3   223.2     6.0    12.1    21.0    75.5
2020-10-01T00:27:15.750Z write  3   249.7     5.8    10.0    15.7    56.6
2020-10-01T00:28:15.747Z write  3   219.1     6.0    11.5    22.0   637.5
2020-10-01T00:29:15.744Z write  3   226.1     6.0    11.0    19.9   536.9
2020-10-01T00:30:15.740Z write  3   249.2     5.8     9.4    14.7    65.0
2020-10-01T00:31:15.737Z write  3   232.7     5.8    11.0    19.9   570.4
2020-10-01T00:32:15.733Z write  3   232.3     5.8    11.0    18.9   570.4
2020-10-01T00:33:15.730Z write  3   241.7     5.8    10.0    15.2    83.9
2020-10-01T00:34:15.727Z write  3   233.9     5.8    10.5    18.9   604.0
2020-10-01T00:35:15.723Z write  3   226.7     6.0    11.0    22.0   536.9
2020-10-01T00:36:15.720Z write  3   248.5     5.8    10.0    14.7    71.3
2020-10-01T00:37:15.717Z write  3   222.8     5.8    11.0    23.1   637.5
2020-10-01T00:38:15.714Z write  3   225.2     6.0    11.0    21.0   604.0
2020-10-01T00:39:15.711Z write  3   250.1     5.8    10.0    15.2    50.3
2020-10-01T00:40:15.707Z write  3   227.4     5.8    11.0    19.9   604.0
2020-10-01T00:41:15.703Z write  3   229.7     5.8    11.0    22.0   570.4
2020-10-01T00:42:15.700Z write  3   253.2     5.8     9.4    14.7    58.7
2020-10-01T00:43:15.697Z write  3   222.2     6.0    11.0    19.9   604.0
2020-10-01T00:44:15.693Z write  3   204.6     6.3    12.6    23.1   503.3
2020-10-01T00:45:15.690Z write  3   237.1     5.8    10.5    18.9   104.9
2020-10-01T00:46:15.687Z write  3   225.9     5.8    11.0    21.0   671.1
2020-10-01T00:47:15.683Z write  3   230.8     5.8    10.5    19.9   436.2
2020-10-01T00:48:15.681Z write  3   242.6     5.8    10.0    17.8   570.4
2020-10-01T00:49:15.676Z write  3   202.0     6.3    13.1    25.2   771.8
2020-10-01T00:50:15.673Z write  3   234.9     5.8    10.0    16.8   771.8
2020-10-01T00:51:15.670Z write  3   241.3     5.8    10.5    17.8   570.4
