TIME                     OPNAM  # OPS/SEC p50(ms) p95(ms) p99(ms)    pMax
2020-10-01T00:00:15.841Z  read  3   207.6    11.5    39.8    83.9  1208.0
2020-10-01T00:01:15.837Z  read  3   195.0    12.1    41.9    83.9  1140.9
2020-10-01T00:02:15.834Z  read  3   217.9    12.6    39.8    83.9   385.9
2020-10-01T00:03:15.831Z  read  3   199.0    13.6    46.1   104.9  1275.1
2020-10-01T00:04:15.827Z  read  3   201.8    12.1    39.8    75.5   402.7
2020-10-01T00:05:15.824Z  read  3   208.8    12.1    39.8    79.7   469.8
2020-10-01T00:06:15.821Z  read  3   179.9    13.1    46.1    92.3   704.6
2020-10-01T00:07:15.817Z  read  3   198.7    13.1    46.1    88.1  1073.7
2020-10-01T00:08:15.814Z  read  3   129.0    13.6    46.1    96.5 12348.0
2020-10-01T00:09:15.810Z  read  3    82.8    13.1    88.1   385.9 11811.2
2020-10-01T00:10:15.807Z  read  3   247.2     8.4    29.4    60.8   738.2
2020-10-01T00:11:15.804Z  read  3   510.6     5.2    14.2    27.3    83.9
2020-10-01T00:12:15.800Z  read  3   681.6     5.2    13.6    26.2   771.8
2020-10-01T00:13:15.797Z  read  3   878.5     4.7     9.4    16.3   134.2
2020-10-01T00:14:15.793Z  read  3   945.4     4.2     8.4    14.7   117.4
2020-10-01T00:15:15.790Z  read  3   873.9     4.5     9.4    16.3  1040.2
2020-10-01T00:16:15.788Z  read  3   947.6     4.2     8.1    14.2   939.5
2020-10-01T00:17:15.784Z  read  3   807.2     5.0    11.0    18.9   604.0
2020-10-01T00:18:15.780Z  read  3   955.0     4.5     8.4    13.1   142.6
2020-10-01T00:19:15.777Z  read  3   958.6     4.5     8.4    14.2   117.4
2020-10-01T00:20:15.773Z  read  3   942.1     4.5     8.9    15.7   318.8
2020-10-01T00:21:15.770Z  read  3   939.0     4.5     8.9    14.2   604.0
2020-10-01T00:22:15.767Z  read  3   881.2     4.5     9.4    17.8   637.5
2020-10-01T00:23:15.763Z  read  3   938.5     4.5     8.9    15.2   100.7
2020-10-01T00:24:15.760Z  read  3   998.3     4.2     7.9    12.6    71.3
2020-10-01T00:25:15.757Z  read  3   922.7     4.5     8.9    15.2   637.5
2020-10-01T00:26:15.754Z  read  3   892.9     4.7    10.0    16.8   109.1
2020-10-01T00:27:15.750Z  read  3   991.7     4.5     7.9    12.6    65.0
2020-10-01T00:28:15.747Z  read  3   877.9     4.7     9.4    16.3   570.4
2020-10-01T00:29:15.744Z  read  3   898.5     4.5     9.4    15.7   104.9
2020-10-01T00:30:15.740Z  read  3  1010.9     4.2     7.9    12.1   142.6
2020-10-01T00:31:15.737Z  read  3   933.9     4.5     8.9    15.2   335.5
2020-10-01T00:32:15.733Z  read  3   925.3     4.5     8.9    15.7   436.2
2020-10-01T00:33:15.730Z  read  3   971.8     4.5     8.1    12.6    62.9
2020-10-01T00:34:15.727Z  read  3   935.2     4.5     8.9    15.2    79.7
2020-10-01T00:35:15.723Z  read  3   902.1     4.5     8.9    15.2   268.4
2020-10-01T00:36:15.720Z  read  3   982.9     4.5     7.9    12.1   159.4
2020-10-01T00:37:15.717Z  read  3   891.0     4.5     8.9    16.3   973.1
2020-10-01T00:38:15.714Z  read  3   900.5     4.5     8.9    16.3   486.5
2020-10-01T00:39:15.711Z  read  3   995.7     4.5     7.9    12.1    44.0
2020-10-01T00:40:15.707Z  read  3   930.5     4.5     8.9    15.7   100.7
2020-10-01T00:41:15.703Z  read  3   904.0     4.5     8.9    15.7   302.0
2020-10-01T00:42:15.700Z  read  3   999.9     4.2     7.9    12.1    50.3
2020-10-01T00:43:15.697Z  read  3   892.2     4.7     9.4    16.3    75.5
2020-10-01T00:44:15.693Z  read  3   820.9     5.0    11.0    22.0   218.1
2020-10-01T00:45:15.690Z  read  3   951.2     4.5     8.9    14.7    71.3
2020-10-01T00:46:15.687Z  read  3   902.7     4.5     8.9    16.3   906.0
2020-10-01T00:47:15.683Z  read  3   928.6     4.5     8.9    15.7   419.4
2020-10-01T00:48:15.681Z  read  3   971.4     4.5     7.9    13.1    58.7
2020-10-01T00:49:15.676Z  read  3   807.8     4.7    11.0    21.0   906.0
2020-10-01T00:50:15.673Z  read  3   953.1     4.5     8.4    13.6   671.1
2020-10-01T00:51:15.670Z  read  3   952.4     4.5     8.4    14.7   268.4
2020-10-01T00:52:15.667Z  read  3   902.6     4.5     8.9    16.3   604.0
2020-10-01T00:53:15.663Z  read  3   953.5     4.5     8.1    13.6   973.1
2020-10-01T00:54:15.659Z  read  3   938.5     4.5     8.4    14.2   738.2
2020-10-01T00:55:15.656Z  read  3   891.9     4.5     8.9    15.7   318.8
2020-10-01T00:56:15.653Z  read  3   977.8     4.5     8.1    13.6   385.9
2020-10-01T00:57:15.650Z  read  3   932.6     4.5     8.9    15.2   151.0
2020-10-01T00:58:15.647Z  read  3   778.7     5.0    11.0    19.9   939.5
2020-10-01T00:59:15.643Z  read  3   982.0     4.5     7.9    12.1    56.6
2020-10-01T01:00:15.639Z  read  3   862.4     4.7     9.4    16.3   570.4
2020-10-01T01:01:15.637Z  read  3   865.8     4.5     9.4    17.8   520.1
2020-10-01T01:02:15.633Z  read  3   993.3     4.5     7.9    12.1    52.4
2020-10-01T01:03:15.630Z  read  3   904.6     4.5     8.9    16.8   872.4
2020-10-01T01:04:15.626Z  read  3   922.4     4.5     8.9    15.2   285.2
2020-10-01T01:05:15.622Z  read  3   989.0     4.5     7.9    12.1    56.6
2020-10-01T01:06:15.619Z  read  3   914.1     4.5     8.9    16.3   243.3
2020-10-01T01:07:15.616Z  read  3   891.3     4.5     8.9    16.3   738.2
2020-10-01T01:08:15.612Z  read  3   707.8     4.7    11.5    26.2  6710.9
2020-10-01T01:09:15.609Z  read  3   631.2     4.7    12.6    35.7  7516.2
2020-10-01T01:10:15.606Z  read  3   657.1     5.0    13.1    30.4  6710.9
2020-10-01T01:11:15.603Z  read  3   860.1     4.7    10.0    15.7   121.6
2020-10-01T01:12:15.599Z  read  3  1010.0     4.1     7.9    12.1    44.0
2020-10-01T01:13:15.596Z  read  3   941.6     4.2     8.4    15.2   113.2
2020-10-01T01:14:15.592Z  read  3   946.9     4.5     8.9    15.7    60.8
2020-10-01T01:15:15.589Z  read  3  1026.9     4.1     7.9    12.6    56.6
2020-10-01T01:16:15.586Z  read  3  1002.7     4.1     7.9    13.6    62.9
2020-10-01T01:17:15.582Z  read  3   955.0     4.2     8.4    14.7   121.6
2020-10-01T01:18:15.579Z  read  3   977.4     4.2     8.1    13.6    79.7
2020-10-01T01:19:15.575Z  read  3  1012.9     4.1     7.6    12.6    60.8
2020-10-01T01:20:15.572Z  read  3   946.7     4.2     8.9    16.3   121.6
2020-10-01T01:21:15.569Z  read  3   975.6     4.2     8.4    14.2    67.1
2020-10-01T01:22:15.565Z  read  3  1050.6     4.1     7.6    11.5    48.2
2020-10-01T01:23:15.562Z  read  3   960.9     4.2     8.4    15.2   109.1
2020-10-01T01:24:15.559Z  read  3   961.6     4.2     8.4    14.7   117.4
2020-10-01T01:25:15.555Z  read  3  1021.5     4.2     7.6    12.1    65.0
2020-10-01T01:26:15.552Z  read  3   860.0     4.5    11.0    21.0   109.1
2020-10-01T01:27:15.550Z  read  3   980.7     4.2     8.4    13.6    83.9
