TIME                     OPNAM  # OPS/SEC p50(ms) p95(ms) p99(ms)    pMax
2020-11-10T23:00:38.694Z write  1    77.0     3.3     4.2     5.2     5.2
2020-11-10T23:00:39.694Z  read  1   267.8     2.0     3.1     4.2     8.4
2020-11-10T23:00:39.694Z write  1    65.0     3.1     4.1     4.5     4.5
2020-11-10T23:00:40.693Z  read  1   277.2     2.0     3.1     4.7     5.0
2020-11-10T23:00:40.693Z write  1    56.0     3.1     4.5     5.0     5.0
2020-11-10T23:00:41.694Z  read  1   264.8     2.0     3.1     3.7     3.8
2020-11-10T23:00:41.694Z write  1    67.0     3.1     4.1     5.5     5.5
2020-11-10T23:00:42.694Z  read  1   264.1     2.1     3.1     3.7     6.6
2020-11-10T23:00:42.694Z write  1    70.0     3.1     4.2    10.0    10.0
2020-11-10T23:00:43.694Z  read  1   257.1     2.0     3.1     4.5     5.2
2020-11-10T23:00:43.694Z write  1    76.0     3.1     4.5     6.3     6.3
2020-11-10T23:00:44.694Z  read  1   266.0     2.0     3.3     4.5     5.2
2020-11-10T23:00:44.694Z write  1    67.0     3.1     4.2     9.4     9.4
2020-11-10T23:00:45.694Z  read  1   263.0     1.9     3.1     3.7     3.9
2020-11-10T23:00:45.694Z write  1    70.0     3.0     3.9     4.5     4.5
2020-11-10T23:00:46.694Z  read  1   274.0     1.9     3.1     3.4     3.9
2020-11-10T23:00:46.694Z write  1    59.0     3.1     4.1     4.2     4.2
2020-11-10T23:00:47.694Z  read  1   265.1     2.0     3.5     5.5    11.0
2020-11-10T23:00:47.694Z write  1    68.0     3.1     4.2     7.1     7.1
2020-11-10T23:00:48.694Z  read  1   256.9     2.0     3.4     5.2    11.0
2020-11-10T23:00:48.694Z write  1    76.0     3.1     4.5     6.6     6.6
2020-11-10T23:00:49.694Z  read  1   259.0     2.0     3.1     3.7     3.9
2020-11-10T23:00:49.694Z write  1    74.0     3.1     4.2     4.5     4.5
2020-11-10T23:00:50.694Z  read  1   266.1     2.0     3.3     3.8     4.5
2020-11-10T23:00:50.694Z write  1    67.0     3.1     4.5     7.9     7.9
2020-11-10T23:00:51.694Z  read  1   264.0     2.0     3.1     3.7     5.2
2020-11-10T23:00:51.694Z write  1    69.0     3.1     4.2     5.0     5.0
2020-11-10T23:00:52.694Z  read  1   266.9     2.0     3.1     3.5     8.9
2020-11-10T23:00:52.694Z write  1    67.0     3.1     4.5    11.5    11.5
2020-11-10T23:00:53.694Z  read  1   248.0     2.0     3.3     4.1     5.2
2020-11-10T23:00:53.694Z write  1    84.0     3.1     4.2     7.9     7.9
2020-11-10T23:00:54.694Z  read  1   267.0     2.0     3.1     3.7     3.9
2020-11-10T23:00:54.694Z write  1    66.0     3.1     4.1     4.2     4.2
2020-11-10T23:00:55.694Z  read  1   267.0     2.0     3.1     3.7     3.8
2020-11-10T23:00:55.694Z write  1    66.0     3.3     3.9     4.5     4.5
2020-11-10T23:00:56.694Z  read  1   268.1     2.1     3.3     3.8     4.5
2020-11-10T23:00:56.694Z write  1    65.0     3.3     4.2     4.5     4.5
2020-11-10T23:00:57.694Z  read  1   274.9     2.0     3.1     4.2     4.5
2020-11-10T23:00:57.694Z write  1    58.0     3.3     4.5     5.0     5.0
2020-11-10T23:00:58.693Z  read  1   262.1     2.0     3.1     4.7     5.0
2020-11-10T23:00:58.693Z write  1    71.0     3.3     3.9     5.2     5.2
2020-11-10T23:00:59.694Z  read  1   271.9     2.0     3.1     4.1     4.7
2020-11-10T23:00:59.694Z write  1    61.0     3.1     4.5    12.1    12.1
2020-11-10T23:01:00.694Z  read  1   269.9     2.0     2.9     3.7     8.1
2020-11-10T23:01:00.694Z write  1    63.0     3.3     4.1     4.5     4.5
2020-11-10T23:01:01.694Z  read  1   265.1     2.0     3.3     4.5     5.5
